MarketName,street,city,County,State,zip,x,y,Credit,WIC,WICcash,SFMNP,SNAP,has_website,Is market,Produce,Confectionary,Household,Dairy,Plants,Meat,Other,product_count,alt_pay_methods
BERLIN FARMERS MARKET,,Berlin,Hartford,Connecticut,6037,-72.786011,41.643845,1,0,0,0,0,0,1,3.0,3.0,3.0,1.0,2.0,0.0,2.0,14.0,0
Berlin Local Works Farmers' Market,Pleasant St. Rt16S,Berlin ,Coos,New Hampshire,3570,-71.18306,44.469528000000004,1,0,0,0,1,1,1,4.0,4.0,2.0,2.0,2.0,3.0,0.0,17.0,1
Bernardston Farmers' Market,58 Church St.,Bernardston,Franklin,Massachusetts,1337,-72.54895,42.671001000000004,1,1,1,1,1,0,1,4.0,4.0,2.0,2.0,2.0,2.0,1.0,17.0,4
Bernice Garden Farmers' Market,1401 S Main Street,Little Rock,Pulaski,Arkansas,72202,-92.272568,34.73502,1,0,0,0,1,1,1,4.0,4.0,3.0,2.0,3.0,2.0,2.0,20.0,1
Berrien County farmer's market,Marion Street,Nashville,Berrien,Georgia,31639,-83.245209,31.206709000000004,0,0,0,0,0,1,1,3.0,5.0,2.0,0.0,2.0,0.0,1.0,13.0,0
Berryessa Farmers' Market,1376 Piedmont Road,San Jose ,Santa Clara,California,95132,-121.84737,37.402039,1,1,0,0,1,1,1,3.0,2.0,0.0,0.0,3.0,2.0,1.0,11.0,2
berryville farmers' market,,berryville,Carroll,Arkansas,72616,-93.567284,36.364471,1,1,0,1,0,0,1,2.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,2
Berthoud Local Farmers Market,620 Mountin Ave.,Berthoud,Larimer,Colorado,80513,-105.08263000000001,40.305328,1,0,0,0,0,1,1,4.0,3.0,3.0,2.0,1.0,2.0,2.0,17.0,0
Berwick Winter Farmers Market,11 Sullivan Street,Berwick,York,Maine,3901,-70.862427,43.269954999999996,1,0,0,0,1,1,1,4.0,4.0,2.0,2.0,1.0,1.0,2.0,16.0,1
Berwyn Township Farmer's Market,"Lesak Park, 6600 W. 26th Street",Berwyn,Cook,Illinois,60402,-87.788292,41.843311,1,0,0,0,0,1,1,2.0,3.0,2.0,2.0,2.0,1.0,2.0,14.0,0
BESSEMER FARMERS MARKET,1st Avenue N and 19th Street,Bessemer,Jefferson,Alabama,35020,-86.95137,33.401131,1,0,0,1,1,0,1,2.0,3.0,0.0,1.0,2.0,0.0,1.0,9.0,2
Bessemer Farmers Market at Medical West,995 9th Ave SW,Bessemer,Jefferson,Alabama,35022,-86.990646,33.373081,1,0,0,1,1,0,1,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,2
Bethany Beach Farmers' Market,Garfield Pky and Pennsylvania Ave,Bethany Beach ,Sussex,Delaware,19930,-75.057404,38.538292,1,0,0,0,0,1,1,4.0,2.0,1.0,0.0,1.0,0.0,0.0,8.0,0
Bethany Farmers Market,711 Amity Rd ,Bethany,New Haven,Connecticut,6524,-72.991486,41.438553000000006,1,1,0,1,0,1,1,2.0,5.0,2.0,2.0,2.0,0.0,1.0,14.0,2
Bethany Farmers' Market,3606 Miller St.,Bethany,Harrison,Missouri,64424,-94.017746,40.264977,0,0,0,0,0,0,1,3.0,2.0,1.0,1.0,1.0,0.0,1.0,9.0,0
Bethel Farmers Market,2 Parkway,Bethel,Oxford,Maine,4217,-70.794075,44.412017999999996,1,0,0,1,0,1,1,2.0,4.0,0.0,2.0,3.0,2.0,1.0,14.0,1
Bethesda - Farm Women's Market,7155 Wisconsin Avenue,Bethesda,Montgomery,Maryland,20814,-77.092323,38.981049,1,0,0,0,0,1,1,6.0,5.0,2.0,2.0,2.0,3.0,3.0,23.0,0
Bethesda Central Farm Market,7600 Arlington Road,Bethesda ,Montgomery,Maryland,20814,-77.099205,38.987026,1,1,0,0,0,1,1,6.0,4.0,3.0,2.0,2.0,3.0,3.0,23.0,1
Bethlehem Farmers' Market,Intersection of New and Morton Streets,Bethlehem,Lehigh,Pennsylvania,18015,-75.378403,40.609806,1,1,0,1,1,1,1,4.0,2.0,1.0,1.0,1.0,2.0,1.0,12.0,3
Bettendorf Farmers' Market,2117 State St.,Bettendorf ,Scott,Iowa,52722,-90.501984,41.525158000000005,1,1,1,1,1,1,1,3.0,3.0,0.0,1.0,2.0,0.0,0.0,9.0,4
Better Lives Today Farmers' Market,"222 S. Pine, Pine and McClurg",Richland,Pulaski,Missouri,65556,-92.40434300000001,37.856983,0,0,0,0,0,1,1,3.0,3.0,2.0,1.0,3.0,0.0,1.0,13.0,0
Beverly Farmers Market,"Veterans Memorial Park, Rantoul St. and Railroad Ave.",Beverly,Essex,Massachusetts,1915,-70.884834,42.546955,1,1,0,1,1,1,1,4.0,4.0,2.0,3.0,2.0,1.0,3.0,19.0,3
Beverly Hills Farmers Market,9300 Civic Center Drive,Beverly Hills,Los Angeles,California,90210,-118.39891000000001,34.074257,1,1,0,1,1,1,1,5.0,4.0,1.0,2.0,3.0,3.0,2.0,20.0,3
Bexley Farmers Market,E Main St and S Dawson Ave,Bexley,Franklin,Ohio,43209,-82.935745,39.957134,1,1,0,1,1,1,1,2.0,3.0,1.0,1.0,1.0,3.0,2.0,13.0,3
Big Bear Farmers Market,42900 Big Bear Blvd,City of Big Bear Lake,San Bernardino,California,92315,-116.86671000000001,34.260803,1,1,1,1,1,1,1,5.0,3.0,3.0,2.0,3.0,2.0,2.0,20.0,4
Big Horn Basin Farmers Market Cody, 720 Sheridan Ave,Cody,Park,Wyoming,82414,-109.0742,44.524239,1,0,0,0,0,1,1,4.0,3.0,1.0,2.0,0.0,0.0,1.0,11.0,0
Big Horn Basin Farmers Market Powell,351 West 2nd Street ,Powell,Park,Wyoming,82435,-108.7627,44.754204,1,0,0,0,0,1,1,3.0,3.0,1.0,2.0,0.0,1.0,1.0,11.0,0
Big Lake Farmers Market,101 Lakeshore Drive,Big Lake,Sherburne,Minnesota,55309,-93.758163,45.333775,1,0,0,0,1,1,1,5.0,5.0,2.0,1.0,3.0,2.0,2.0,20.0,1
Big Lake Winter Farmers Market,311 Lake Street South,Big Lake,Sherburne,Minnesota,55309,-93.747475,45.329205,1,0,0,0,1,1,1,4.0,5.0,2.0,1.0,0.0,2.0,2.0,16.0,1
Big Red Barn Farmers Market,605 Morgan Street,Davenport,Lincoln,Washington,99122,-118.15002,47.653904,1,1,0,1,0,1,1,3.0,3.0,2.0,2.0,2.0,0.0,1.0,13.0,2
Big Sky Farmers Market,Lone Peak Drive and Ousel Falls Rd.,Big Sky,Gallatin,Montana,59716,-111.3103,45.2598,1,0,0,0,0,1,1,2.0,2.0,2.0,1.0,3.0,2.0,2.0,14.0,0
Big Stone Gap Farmers Market,460 Shawnee Avenue,Big Stone Gap,Wise,Virginia,24219,-82.775246,36.868183,1,0,0,1,1,1,1,3.0,3.0,2.0,1.0,3.0,1.0,2.0,15.0,2
Bigfork Farmers' Market Cooperative,Masonic Temple 8098 MT Hwy 35,Bigfork ,Flathead,Montana,59911,-114.07943999999999,48.073601000000004,1,1,0,0,1,1,1,4.0,3.0,3.0,1.0,3.0,1.0,1.0,16.0,2
Bigfork Farmers' Market Cooperative,8098 Hwy 35,Bigfork ,Flathead,Montana,59911,-114.08025,48.073933000000004,1,1,1,0,0,1,1,2.0,3.0,2.0,1.0,2.0,0.0,1.0,11.0,2
Billerica Farmers Market,25 Concord Road,Billerica,Middlesex,Massachusetts,1821,-71.269997,42.557648,1,1,0,1,1,1,1,3.0,2.0,2.0,2.0,2.0,2.0,3.0,16.0,3
Birch Run Farmers' Market,12245 S. Beyer Rd. A110,Birch Run,Saginaw,Michigan,48415,-83.77776300000001,43.247803000000005,1,0,0,0,0,1,1,3.0,5.0,3.0,1.0,2.0,2.0,0.0,16.0,0
Birmingham Farmers Market,660 North Old Woodward Avenue,Birmingham ,Oakland,Michigan,48009,-83.217621,42.551571,1,0,0,0,0,1,1,6.0,5.0,3.0,2.0,3.0,3.0,2.0,24.0,0
Bisbee Farmers Market,Vista Park,Bisbee,Cochise,Arizona,85603,-109.87825,31.407192,1,1,1,1,0,1,1,7.0,3.0,2.0,2.0,3.0,2.0,2.0,21.0,3
Biscuits and Jam Farmers' Market,Bankhead St and Main St,New Albany,Union,Mississippi,38652,-89.010826,34.494816,1,0,0,0,0,0,1,3.0,3.0,1.0,2.0,2.0,0.0,2.0,13.0,0
Bishop Farmers' Market - Eastern Sierra Certified Farmers Market,200 Church Street,Bishop,Inyo,California,93514,-118.39743,37.362109999999994,1,1,1,1,0,0,1,4.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,3
BisMarket,,Bismarck,Burleigh,North Dakota,58501,-100.79647,46.803082,1,0,0,0,1,1,1,3.0,3.0,3.0,1.0,2.0,1.0,3.0,16.0,1
Bitterroot Valley Growers Market,281 Rodeo Drive,Florence,Ravalli,Montana,59833,-114.07621999999999,46.631313,0,0,0,1,0,0,1,2.0,3.0,1.0,1.0,4.0,0.0,0.0,11.0,1
Bixler's Farmers Market (Ripley's farmers Market),7389 Clifton Ave,Russellville,Brown,Ohio,45168,-83.799942,38.852215,0,0,0,0,1,0,1,5.0,2.0,1.0,1.0,2.0,1.0,0.0,12.0,1
Black EagleFarmers' Market,2101 Montana Ave.,Black Eagle,Cascade,Montana,59414,-111.2743,47.526531,0,0,0,0,1,0,1,2.0,2.0,2.0,1.0,4.0,1.0,1.0,13.0,1
Black Hills Farmers Market Inc.,1520 West Omaha Street,Rapid City,Pennington,South Dakota,57701,-103.24428,44.084724,1,0,0,0,1,1,1,5.0,4.0,2.0,2.0,3.0,3.0,2.0,21.0,1
Black Mountain Tailgate Market,130 Montreat Road,Black Mountain,Buncombe,North Carolina,28711,-82.321747,35.620861,1,0,0,0,0,1,1,3.0,4.0,2.0,2.0,3.0,3.0,1.0,18.0,0
Black River Falls Community Farmers' Market,133 County Road A,Black River Falls ,Jackson,Wisconsin,54615,-90.84648100000001,44.305679,1,1,0,1,0,1,1,3.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,2
Black River Falls Downtown Farmer's Market,3rd Street between Main and Filmore,Black River Falls ,Jackson,Wisconsin,54615,-90.850403,44.294552,0,1,0,0,0,0,1,3.0,4.0,1.0,0.0,1.0,0.0,0.0,9.0,1
Black Seed Farmers Market,248 East Mountain St.,Worcester,Worcester,Massachusetts,1606,-71.773888,42.315422,1,1,0,1,1,1,1,4.0,4.0,2.0,1.0,0.0,1.0,1.0,13.0,3
Blacksburg Farmers Market,"108 W Roanoke St, Suite 101",Blacksburg,Montgomery,Virginia,24060,-80.414505,37.229248,1,0,0,0,1,1,1,7.0,4.0,2.0,1.0,3.0,2.0,3.0,22.0,1
Blackwell Farmer's Market,800 S. Main Street,Blackwell,Kay,Oklahoma,74631,-97.282562,36.79557,0,0,0,0,0,0,1,1.0,1.0,1.0,0.0,2.0,0.0,1.0,6.0,0
Blairstown Farmers' Market,5 Stillwater Road,Blairstown,Warren,New Jersey,7825,-74.955688,40.982895,1,0,0,0,1,1,1,4.0,3.0,2.0,2.0,3.0,2.0,2.0,18.0,1
Blanchard Farmers' Market,"Hwy 62, west of Main St.",Blanchard,McClain,Oklahoma,73010,-97.65927099999999,35.137966,0,1,0,0,0,0,1,3.0,0.0,2.0,1.0,3.0,0.0,0.0,9.0,1
Bland County Farmers Market,591 Main Street,Bland,Bland,Virginia,24315,-81.11507399999999,37.100871999999995,0,0,0,0,0,1,1,2.0,3.0,1.0,1.0,2.0,1.0,0.0,10.0,0
Blasdell Farmers' Market,3785 South Park Avenue,Blasdell,Erie,New York,14219,-78.824203,42.795177,1,1,0,1,0,1,1,3.0,4.0,3.0,2.0,2.0,2.0,2.0,18.0,2
Bliss Farmer's Market,Corner of Sturgeon Bay Rd. & Pleasantview Rd.,Bliss,Emmet,Michigan,49718,-84.883125,45.681309000000006,1,1,0,1,0,0,1,6.0,4.0,3.0,2.0,3.0,3.0,2.0,23.0,2
Bloomfield Community Farmers' Market,Greene County Courthouse Square,Bloomfield,Greene,Indiana,47424,-86.937935,39.026226,1,1,0,1,1,1,1,3.0,3.0,1.0,1.0,0.0,1.0,1.0,10.0,3
Bloomfield Farmers' Market,704 S. Prairie St,Bloomfield,Stoddard,Missouri,63825,-89.92981,36.880684,0,0,0,0,0,0,1,2.0,3.0,2.0,1.0,3.0,0.0,0.0,11.0,0
Bloomfield Saturday Market,5050 Liberty Ave,Pittsburgh,Allegheny,Pennsylvania,15224,-79.944435,40.459003,1,0,0,1,1,1,1,4.0,3.0,1.0,2.0,1.0,1.0,2.0,14.0,2
Blooming Prairie Farmers Market,210 4th St NE,Blooming Prairie,Steele,Minnesota,55917,-93.053497,43.8717,0,0,0,0,0,0,1,3.0,4.0,0.0,0.0,2.0,0.0,1.0,10.0,0
Bloomingdale Farmers' Market,First and R Streets NW,Washington,District of Columbia,District of Columbia,20009,-77.01215400000001,38.912605,1,1,1,1,1,0,1,5.0,2.0,0.0,2.0,2.0,1.0,1.0,13.0,4
Bloomington Community Farmers' Market,401 N MortonSt,"Bloomington, IN ",Monroe,Indiana,47404,-86.53694200000001,39.170307,1,1,0,1,1,1,1,7.0,4.0,3.0,2.0,3.0,3.0,2.0,24.0,3
Bloomington Farmers Market,1800 West Old Shakopee Road,Bloomington,Hennepin,Minnesota,55431,-93.301071,44.825874,1,1,0,1,1,1,1,3.0,5.0,2.0,1.0,1.0,3.0,2.0,17.0,3
Bloomington Winter Farmers' Market,909 E. 2nd St.,Bloomington,Monroe,Indiana,47401,-86.521675,39.16153,1,0,0,0,1,1,1,7.0,4.0,2.0,2.0,1.0,3.0,2.0,21.0,1
Bloomsburg Farmers Market,Market Street at Main Street,Bloomsburg,Columbia,Pennsylvania,17815,-76.457787,41.00246,1,1,0,1,0,1,1,3.0,2.0,1.0,1.0,1.0,2.0,0.0,10.0,2
Blossom Hill Certified Farmers' Market,Santa Teresa Blvd and Highway 85 & 87 Interchange,San Jose,Santa Clara,California,95136,-121.86001999999999,37.256325,1,1,0,1,1,1,1,7.0,4.0,1.0,2.0,3.0,3.0,1.0,21.0,3
Blount County Farmers Market,500 New Street,Oneonta,Blount,Alabama,35121,-86.470238,33.944317,0,1,0,1,0,1,1,4.0,3.0,0.0,2.0,1.0,0.0,1.0,11.0,2
Blountville Farmer's Market,3258 Highway 126,Blountville,Sullivan,Tennessee,37617,-82.320107,36.534046000000004,0,0,0,0,0,0,1,2.0,3.0,1.0,1.0,2.0,1.0,0.0,10.0,0
Blue Hill Farmers Market ,"Rt 172, Ellsworth Road",Blue Hill ,Hancock,Maine,4614,-68.57713299999999,44.427437,1,0,1,0,1,1,1,4.0,3.0,2.0,2.0,2.0,2.0,3.0,18.0,2
Blue Springs Farmers Market,11th St & Main St,Blue Springs,Lafayette,Missouri,64015,-94.277817,39.018375,0,0,0,0,0,1,1,2.0,3.0,2.0,1.0,3.0,2.0,1.0,14.0,0
"Bluefield, VA Farmers Market",Walnut Street,Bluefield,Tazewell,Virginia,,-81.271622,37.251614000000004,0,0,0,1,1,0,1,5.0,4.0,2.0,1.0,3.0,1.0,0.0,16.0,2
"Bluegrass Farmers' Market, Inc.",3070 Lakecrest Circle,Lexington,Fayette,Kentucky,40513,-84.555077,38.016552000000004,1,1,0,1,1,1,1,5.0,3.0,1.0,2.0,1.0,2.0,0.0,14.0,3
"Bluegrass Farmers' Market, Inc.",1837 Plaudit Place,Lexington,Fayette,Kentucky,40509,-84.419563,38.014458000000005,1,1,0,1,1,1,1,5.0,3.0,1.0,2.0,2.0,2.0,0.0,15.0,3
Bluegrass Global Growers Market,4801 Southside Drive,Louisville,Jefferson,Kentucky,40214,-85.763802,38.178432,1,0,0,0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Bluelicks Farmers Market,P.O. Box 66 U. S. 68 ,Mount Olivet ,Robertson,Kentucky,41064,-83.985443,38.441814,0,1,1,0,0,0,1,4.0,4.0,2.0,1.0,1.0,0.0,0.0,12.0,2
Bluffton Farmers Market,102 S Main St,Bluffton,Allen,Ohio,45817,-83.892723,40.893082,1,0,0,1,0,1,1,2.0,4.0,1.0,0.0,3.0,1.0,0.0,11.0,1
Bluffton Farmers' & Artisans' Market,360 N Main St,Bluffton,Wells,Indiana,46714,-85.172112,40.743481,1,0,0,0,0,0,1,2.0,3.0,2.0,1.0,2.0,0.0,0.0,10.0,0
BMI Farmers' Market,1415 Key Highway,Baltimore,Baltimore City,Maryland,21230,-76.601326,39.273865,1,1,0,1,0,1,1,2.0,2.0,2.0,2.0,1.0,3.0,3.0,15.0,2
Boalsburg Farmers Market,"Pennsylvania Military Museum, Business Route 322",Boalsburg,Centre,Pennsylvania,16827,-77.797104,40.780353999999996,1,0,1,1,1,1,1,6.0,4.0,2.0,2.0,3.0,3.0,3.0,23.0,3
Boca Grande Farm & Fish Market,305 Wheeler Road,Boca Grande,Lee,Florida,33921,-82.259956,26.741986999999998,1,0,0,0,0,1,1,8.0,5.0,3.0,2.0,3.0,3.0,2.0,26.0,0
Boca Raton GreenMarket,400 S Federal Highway,Boca Raton,Palm Beach,Florida,33432,-80.086151,26.345976,1,0,0,0,0,0,1,8.0,4.0,3.0,2.0,3.0,1.0,2.0,23.0,0
Boise Farmers Market,10TH & GROVE  - SUMMER MARKET,Boise City,Ada,Idaho,83702,-116.44408,43.532955,1,0,0,0,1,1,1,7.0,4.0,1.0,2.0,2.0,3.0,3.0,22.0,1
BOISE FARMERS MARKET,516 S. 8th Street,Boise City,Ada,Idaho,83702,-116.19193,43.607979,1,0,0,0,1,1,1,8.0,5.0,2.0,2.0,0.0,3.0,2.0,22.0,1
Bollinger County Farmers' Market,200 State Hwy 34,Marble Hill,Bollinger,Missouri,63764,-89.979683,37.301952,0,0,0,0,0,0,1,2.0,3.0,2.0,1.0,3.0,2.0,1.0,14.0,0
Bonita Springs Farmers Market,26795 South Bay Drive,Bonita Springs ,Lee,Florida,34134,-81.809685,26.349459000000003,1,0,0,0,0,1,1,8.0,5.0,2.0,2.0,3.0,3.0,2.0,25.0,0
Bonita Springs Lions Club Downtown Farmers Market,27300 Old 41 Road,Bonita Springs,Lee,Florida,34135,-81.779297,26.341101000000002,0,0,0,0,0,1,1,2.0,3.0,0.0,0.0,2.0,1.0,0.0,8.0,0
Bonner Springs Farmers' Market,129 Elm St,Bonner Springs ,Wyandotte,Kansas,66012,-94.88353000000001,39.055671999999994,1,0,0,1,1,1,1,5.0,3.0,2.0,2.0,3.0,2.0,2.0,19.0,2
Bonners Ferry Farmers Market,6400 Kootenai St,Bonners Ferry,Boundary,Idaho,83805,-116.314,48.696098,0,0,0,0,0,1,1,2.0,3.0,2.0,0.0,2.0,0.0,1.0,10.0,0
Boone County Farmers Market,1961 Burlington Pike,Burlington,Boone,Kentucky,41005,-84.69931,39.020084000000004,1,1,0,0,0,1,1,3.0,3.0,1.0,2.0,3.0,1.0,0.0,13.0,1
Boone County Farmers Market,2300 Bernadette,Columbia,Boone,Missouri,65203,-92.372116,38.963623,1,0,0,0,1,1,1,2.0,3.0,1.0,1.0,1.0,0.0,0.0,8.0,1
Boone Farmers Market Association,7th and Story Street,Boone,Boone,Iowa,50036,-93.879684,42.062725,1,1,1,1,1,1,1,4.0,3.0,2.0,1.0,1.0,0.0,2.0,13.0,4
Boone Street Market,101 Boone Street,Jonesborough,Washington,Tennessee,37659,-82.471977,36.295273,1,0,0,0,1,1,1,5.0,5.0,0.0,3.0,0.0,3.0,3.0,19.0,1
Booneville Community Market,Broadway and 2nd St,Booneville ,Logan,Arkansas,72927,-93.921944,35.139122,1,0,0,0,0,1,1,2.0,3.0,2.0,1.0,3.0,0.0,1.0,12.0,0
Boonton Farmers Market,620 Main Street,Boonton,Morris,New Jersey,7005,-74.413353,40.905689,1,0,0,0,1,0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1
Boonville CFM,14040 Hwy 128- Boonville Hotel,Boonville,Mendocino,California,95415,-123.368,39.009102,0,1,0,0,0,0,1,3.0,2.0,2.0,0.0,2.0,0.0,1.0,10.0,1
Boonville Farmers Market,222 Schuyler St.,Boonville,Oneida,New York,13309,-75.344048,43.481777,0,1,0,1,0,1,1,3.0,4.0,2.0,2.0,2.0,0.0,0.0,13.0,2
Boonville Farmers Market Inc,1931 Boone Village Shopping Center,Boonville,Cooper,Missouri,65233,-92.741592,38.955643,1,0,0,0,0,1,1,4.0,3.0,2.0,1.0,2.0,2.0,0.0,14.0,0
Boordy Vineyards-Good Life Thursdays,12820 Long Green Pike,Hydes,Baltimore,Maryland,21082,-76.488098,39.475398999999996,0,1,0,1,0,1,1,1.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,2
Boro Park Greenmarket,14th Ave - 49 & 50 Sts,Brooklyn,Kings,New York,11219,-73.990494,40.633137,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4
Boscobel Farmers Market,800 Wisconsin Ave,Boscobel ,Grant,Wisconsin,53805,-90.707008,43.135849,1,0,0,0,0,0,1,4.0,4.0,1.0,0.0,1.0,0.0,2.0,12.0,0
Bosque Farmers Market,110 South Main,Meridian ,Bosque,Texas,76665,-97.65731,31.922802,1,0,0,0,0,1,1,4.0,3.0,2.0,1.0,1.0,1.0,0.0,12.0,0
Boston Public Market,100 Hanover Street,Boston,Suffolk,Massachusetts,2108,-71.057373,42.362263,1,1,0,1,1,1,1,7.0,5.0,2.0,3.0,3.0,3.0,3.0,26.0,3
Boston University Farmers Market,775 Commonwealth Ave,Boston,Suffolk,Massachusetts,2215,-71.108467,42.350597,1,0,0,0,0,1,1,5.0,3.0,2.0,0.0,0.0,0.0,0.0,10.0,0
Botetourt Farmer's Market ,90 Town Center St,Daleville,Botetourt,Virginia,24083,-79.912643,37.417792999999996,1,0,0,0,0,0,1,5.0,3.0,2.0,1.0,2.0,2.0,2.0,17.0,0
Bothell Farmers Market,23718 Bothell Everett Highway,Bothell,Snohomish,Washington,98021,-122.2217,47.782322,1,1,0,0,0,1,1,2.0,2.0,3.0,1.0,3.0,1.0,2.0,14.0,1
Bottineau Farmers Market,6th Street and Main Street,Bottineau,Bottineau,North Dakota,58318,-100.44595,48.826279,1,0,0,0,0,0,1,4.0,2.0,1.0,1.0,2.0,1.0,0.0,11.0,0
Boulder County Farmers' Market - Longmont & Boulder,9595 Nelson rd,Longmont,Boulder,Colorado,80501,-105.12865,40.153481,1,1,0,0,1,1,1,2.0,3.0,2.0,2.0,4.0,2.0,2.0,17.0,2
Boulder Farmers Market,304 N. Main Street,Boulder,Jefferson,Montana,59632,-112.11802,46.238803999999995,0,0,0,0,0,0,1,3.0,2.0,2.0,1.0,2.0,0.0,0.0,10.0,0
Boulder Farmers Market ,Canyon Boulevard and 13th Street ,Boulder,Boulder,Colorado,80302,-105.27763999999999,40.015244,1,1,0,0,1,1,1,7.0,4.0,2.0,2.0,2.0,2.0,3.0,22.0,2
Bounty of the Barrens Farmers' Market - Summer,101 North Public Square,Glasgow,Barren,Kentucky,42141,-85.912735,36.995979,1,1,0,1,1,1,1,4.0,4.0,3.0,2.0,2.0,2.0,0.0,17.0,3
Bounty of the Barrens Farmers' Market - Winter,1463 West Main Street,Glasgow,Barren,Kentucky,42141,-85.944649,37.010086,1,0,0,0,1,1,1,4.0,4.0,2.0,2.0,1.0,2.0,0.0,15.0,1
Bourbon Farmers' Market,Elm St.,Bourbon,Crawford,Missouri,65441,-91.246208,38.154469,0,0,0,0,0,0,1,2.0,3.0,2.0,1.0,3.0,0.0,0.0,11.0,0
Bow Little Market,6200 N. Green,Burlington ,Skagit,Washington,98233,-122.33509,48.555683,1,1,0,1,1,1,1,7.0,3.0,2.0,1.0,2.0,1.0,1.0,17.0,3
Bowdoin Geneva Farmers' Market,230 Bowdoin Street,Dorchester,Suffolk,Massachusetts,2122,-71.06794000000001,42.305817,1,1,1,1,1,1,1,3.0,0.0,2.0,1.0,2.0,1.0,0.0,9.0,4
Bowdoinham Farmers' Market,"Merrymeeting Grange, 27 Main Street",Bowdoinham,Sagadahoc,Maine,4008,-69.896477,44.009997999999996,1,0,0,0,1,0,1,5.0,2.0,2.0,1.0,1.0,2.0,1.0,14.0,1
Bowie Farmers' Market,15200 Annapolis Road ,Bowie,Prince George's,Maryland,20715,-76.741905,38.978321,1,1,0,0,0,1,1,3.0,4.0,3.0,1.0,2.0,2.0,2.0,17.0,1
Bowling Green Community Farmers Market,211 North Main Street,Bowling Green ,Caroline,Virginia,22427,-77.347565,38.051769,0,0,0,0,0,1,1,3.0,3.0,2.0,1.0,2.0,2.0,0.0,13.0,0
Bowling Green Farmers' and Artists' Market,Main St.,Bowling Green,Pike,Missouri,63334,-91.194801,39.342098,0,0,0,0,0,0,1,2.0,3.0,2.0,1.0,3.0,0.0,0.0,11.0,0
Bowling Green Greenmarket,Broadway & Battery Place,New York,New York,New York,10004,-74.014313,40.704586,1,1,1,1,1,1,1,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4
Bowling Green's Original Farmers Market,1751 Scottsville Road,Bowling Green,Warren,Kentucky,42101,-86.433929,36.968788,1,1,0,1,0,1,1,4.0,3.0,2.0,2.0,3.0,1.0,1.0,16.0,2
Boyle County Farmers' Market,203 E. Lexington Ave.,Danville,Boyle,Kentucky,40422,-84.766823,37.649456,1,0,1,1,1,1,1,3.0,4.0,2.0,1.0,2.0,2.0,2.0,16.0,3
Boylston Farmers Market,10 Church Street,Boylston,Worcester,Massachusetts,1505,-71.73428299999999,42.352973999999996,1,1,0,1,0,0,1,3.0,2.0,1.0,2.0,0.0,2.0,0.0,10.0,2
Boyne City Farmers Market,319 N. Lake St,Boyne City,Charlevoix,Michigan,49712,-85.015381,45.21685,1,1,0,1,1,1,1,6.0,5.0,3.0,2.0,3.0,3.0,3.0,25.0,3
Bozeman Winter Farmers' Market,"Emerson Cultural Center, 111 S. Grand Avenue",Bozeman,Gallatin,Montana,59715,-111.0404,45.67778,1,1,0,1,0,1,1,4.0,3.0,2.0,2.0,1.0,2.0,2.0,16.0,2
Bozrah Farmers Market,45 Bozrah Street,Bozrah,New London,Connecticut,6334,-72.168327,41.552174,1,1,0,1,0,1,1,5.0,5.0,3.0,2.0,3.0,3.0,2.0,23.0,2
BPMA at The Greenway,136 Blackstone Street,Boston,Essex,Massachusetts,2108,-71.057281,42.362389,1,0,1,1,1,1,1,5.0,5.0,0.0,2.0,2.0,2.0,2.0,18.0,3
Bradenton Farmers' Market,300 Old Main Street,Bradenton ,Manatee,Florida,34205,-82.573448,27.497222999999998,1,0,0,0,1,1,1,5.0,5.0,2.0,2.0,2.0,2.0,2.0,20.0,1
Bradford Farmers Market,172 North Main Street,Bradford,Orange,Vermont,33,-72.125771,43.998409,0,1,1,1,0,0,1,2.0,4.0,2.0,1.0,2.0,2.0,2.0,15.0,3
Bradford Farmers Market,Main St,Bradford,Merrimack,New Hampshire,3221,-71.95540600000001,43.268864,0,0,0,0,0,0,1,2.0,2.0,2.0,1.0,3.0,1.0,1.0,12.0,0
Bradford Square Farmers' Market,4000 Fort Campbell Blvd,Hopkinsville,Christian,Kentucky,42240,-87.473763,36.833702,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0
Bradford Store,15915 Davidson Concord Rd,Huntersville,Mecklenburg,North Carolina,28078,-80.78555300000001,35.423328000000005,1,0,0,0,0,1,1,2.0,4.0,1.0,2.0,0.0,1.0,1.0,11.0,0
Brainerd Farmers Market,20 Belvoir Ave.,Chattanooga ,Hamilton,Tennessee,37411,-85.239723,35.018475,1,0,0,0,1,0,1,6.0,4.0,3.0,2.0,3.0,2.0,2.0,22.0,1
